"Country","Age","Gender","Kids","Edu","Work.Status","Annual.Income","Occupation","TenureYears","TenureMonths","CommSize","MaritalStat","Sons","Daughters","Iwastealotoft","EvenafterImak","Idonâtmakedec","Idelaymakingd","Iputoffmaking","Ipaymybillson","Iampromptando","Ilayoutmyclot","Ifindmyselfru","Idonâtgetthin","Ifsomeonewere","Myfriendsandf","Igetimportant","Iamnotverygoo","0Ifindmyselfr","1Ischeduledoc","2Iammorepunct","3Idoroutinema","4WhenIhavetob","5Puttingthing","Ioftenfindmys","Ioftenmisscon","Whenplanninga","Whenitistimet","Alettermaysit","Igenerallyret","Evenjobsthatr","Iusuallymaked","Igenerallydel","0Whentravelin","1Whenpreparin","2Inpreparatio","3Ifabillforas","4Iusuallyretu","5Ioftenhaveat","6Ialwaysseemt","7Iusuallybuye","8Iusuallyacco","9Iamcontinual","0Iusuallytake","Inmostwaysmyl","Theconditions","Iamsatisfiedw","SofarIhavegot","IfIcouldlivem","YouConsider","OtheConsider","DPMean","AIPMean","GPMean","SWLSPMean","2016_Est_HDI","HDI_Category"
"Canada",32.5,"Female","No Kids","ma","full-time",45000,"",3,0,"Large Town","Single",2,0,4,4,4,4,4,2,4,4,5,4,4,4,4,4,5,2,4,2,5,3,4,4,3,5,5,2,4,4,4,4,4,4,2,3,4,5,5,4,4,5,2,2,2,3,2,"yes","yes",4,3.7,4,2.2,0.92,"Very High"
"Canada",37.5,"Female","No Kids","deg","full-time",87500,"",7,0,"Medium-Sized","Divorced",2,0,4,1,2,2,2,2,1,2,1,2,3,3,4,2,4,4,1,2,1,5,5,1,1,1,4,3,4,2,5,3,3,4,3,3,4,4,4,3,5,4,4,3,4,2,2,"yes","no",2.2,2.5,3.3,3,0.92,"Very High"
"Canada",55,"Male","No Kids","phd","full-time",250000,"",0,0,"Small Town","Married",2,0,5,4,3,5,4,1,2,5,4,5,5,1,4,5,5,5,2,5,1,5,5,3,4,1,4,4,5,3,4,1,5,1,5,4,3,4,3,4,3,5,3,5,2,4,4,"yes","no",4.2,3.7,3.5,3.6,0.92,"Very High"
"Canada",67.5,"Male","Yes Kids","ma","retired",55000,"",0,0,"Small Town","Married",5,0,4,4,4,4,4,2,2,3,4,3,2,2,2,3,4,2,2,3,3,4,3,2,2,1,5,1,3,4,2,4,4,4,4,4,2,5,3,1,2,1,2,3,2,4,1,"yes","no",4,2.7,2.8,2.4,0.92,"Very High"
"Canada",55,"Male","No Kids","ma","full-time",150000,"",0,0,"Village","Single",2,0,1,1,1,1,1,1,1,3,3,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,5,1,1,1,1,2,1,1,1,2,1,4,1,2,1,1,5,5,5,5,5,"no","no",1,1.4,1.6,5,0.92,"Very High"
"Canada",45,"Female","No Kids","dip","full-time",55000,"",0,0,"Village","Divorced",2,0,3,2,2,2,2,1,1,3,1,1,5,1,2,2,1,1,1,3,1,1,3,4,2,2,3,1,3,3,1,1,2,2,1,3,2,1,1,4,2,2,4,4,4,4,4,"no","no",2.2,1.7,2.1,4,0.92,"Very High"
"Canada",32.5,"Female","No Kids","deg","full-time",35000,"",8,0,"Village","Single",2,0,3,4,4,3,3,3,2,4,3,3,5,3,3,3,3,5,4,4,4,4,4,3,4,1,3,2,3,4,4,5,3,4,3,3,3,4,4,4,4,5,3,3,3,2,3,"yes","no",3.4,3.5,3.5,2.8,0.92,"Very High"
"Canada",22,"Male","No Kids","ltuni","student",15000,"",2,0,"Large-City","Single",2,0,1,1,1,1,1,5,5,5,1,1,1,1,5,1,1,5,5,5,1,1,1,1,5,5,1,5,1,5,1,1,5,1,5,5,5,1,1,5,1,5,1,1,1,1,1,"yes","yes",1,2.9,3,1,0.92,"Very High"
"Canada",55,"Female","Yes Kids","ma","part-time",55000,"",NA,0,"Village","Married",NA,0,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,3,4,4,4,4,"no","no",1.4,1.3,1.2,3.8,0.92,"Very High"
"Canada",37.5,"Female","Yes Kids","ltuni","unemployed",10000,"",0,8,"Small Town","Married",4,1,1,2,1,1,1,3,1,1,1,1,1,2,2,1,1,3,1,3,1,2,3,1,1,2,1,2,3,1,3,1,2,3,2,2,3,2,1,1,3,3,3,1,2,3,3,"no","no",1.2,1.6,2,2.4,0.92,"Very High"
"Canada",45,"Male","Yes Kids","grade","student",15000,"",6,0,"Village","Married",2,1,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,4,5,3,4,5,5,1,5,3,2,3,4,4,5,5,4,5,3,3,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.6,4.6,4.1,1,0.92,"Very High"
"Canada",45,"Male","Yes Kids","ltuni","full-time",35000,"",13,0,"Small Town","Married",2,2,4,4,3,3,3,1,1,5,1,4,5,4,1,2,5,1,1,1,1,1,4,1,1,2,2,1,5,3,5,1,1,2,1,3,5,2,2,4,5,4,3,4,2,3,2,"yes","yes",3.4,2.3,2.7,2.8,0.92,"Very High"
"Canada",28,"Female","No Kids","deg","unemployed",10000,"",0,10,"Village","Married",2,0,2,3,4,3,2,1,1,5,2,2,1,3,2,3,3,3,2,3,2,3,3,2,2,2,2,5,4,4,4,3,4,4,1,1,3,4,4,3,4,4,3,3,3,3,3,"yes","yes",2.8,2.4,3.1,3,0.92,"Very High"
"Canada",55,"Male","No Kids","ma","retired",10000,"",6,0,"Village","Single",2,0,5,5,5,3,3,4,5,5,5,3,1,5,3,3,5,2,5,5,5,5,5,2,2,4,5,1,5,5,5,5,5,5,5,3,3,5,5,4,5,4,1,2,4,1,1,"yes","yes",4.2,4.1,4.2,1.8,0.92,"Very High"
"Canada",28,"Male","Yes Kids","deg","full-time",55000,"",4,0,"Large Town","Married",2,1,5,5,5,5,5,2,2,3,2,4,5,3,5,2,4,4,2,3,1,4,3,4,4,4,3,3,4,4,4,1,4,4,3,3,4,4,4,5,5,5,3,4,3,3,1,"yes","yes",5,3.1,3.8,2.8,0.92,"Very High"
"Canada",28,"Female","No Kids","deg","full-time",45000,"",3,0,"Large Town","Single",2,0,3,3,2,2,2,1,1,3,2,2,4,2,2,2,2,3,3,1,3,2,3,2,2,1,3,2,3,3,3,2,2,3,1,2,3,2,2,3,3,3,3,3,4,4,3,"yes","yes",2.4,2.2,2.4,3.4,0.92,"Very High"
"Canada",32.5,"Male","No Kids","ltuni","full-time",55000,"",7,0,"Village","Married",2,0,5,3,3,3,2,1,2,2,4,3,3,3,4,2,4,2,2,1,2,4,4,5,2,5,2,5,3,3,3,4,1,3,1,4,5,5,3,2,4,4,2,3,3,2,2,"yes","yes",3.2,2.6,3.4,2.4,0.92,"Very High"
"Canada",37.5,"Female","No Kids","phd","full-time",35000,"",2,0,"Village","Single",2,0,3,3,4,2,2,1,2,5,5,1,1,4,5,1,1,5,4,5,2,2,5,1,3,1,1,2,4,4,4,4,3,4,1,4,5,4,4,4,5,5,3,4,4,4,3,"yes","no",2.8,2.9,3.4,3.6,0.92,"Very High"
"Canada",55,"Female","Yes Kids","deg","full-time",55000,"",6,2,"Village","Married",NA,2,5,5,1,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,4,5,5,3,5,4,4,4,1,5,5,3,5,4,4,5,5,4,3,3,3,4,2,"yes","yes",4.2,4.6,4.2,3,0.92,"Very High"
"Canada",55,"Female","Yes Kids","ltuni","full-time",55000,"",6,0,"Village","Married",NA,2,5,5,5,5,5,4,3,5,5,5,5,4,4,5,5,4,3,5,3,5,5,5,5,4,5,4,5,4,5,5,1,5,5,3,5,5,5,5,5,5,3,3,3,4,1,"yes","yes",5,4.3,4.5,2.8,0.92,"Very High"
"Canada",45,"Female","No Kids","ltuni","part-time",25000,"",10,6,"Medium-Sized","Married",2,0,4,5,5,5,5,5,1,3,3,5,5,5,4,5,5,5,5,4,3,5,5,5,5,3,5,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,1,3,3,3,1,"yes","yes",4.8,4.2,4.7,2.2,0.92,"Very High"
"Canada",32.5,"Female","No Kids","ltuni","full-time",45000,"",0,3,"Village","Single",2,0,1,1,1,1,1,1,1,1,4,4,5,3,2,2,5,1,4,1,4,5,5,1,1,4,2,1,1,1,2,5,1,1,2,2,3,1,1,4,1,5,5,4,5,5,1,"yes","yes",1,2.9,2.2,4,0.92,"Very High"
"Canada",21,"Female","No Kids","ltuni","student",10000,NA,3,6,"Large-City","Divorced",2,0,3,3,2,2,2,1,2,2,3,3,4,4,4,4,4,5,4,4,3,4,4,2,3,4,3,2,3,3,4,4,4,4,1,2,4,4,3,4,5,4,3,4,3,3,3,"yes","yes",2.4,3.4,3.4,3.2,0.92,"Very High"
"Canada",28,"Male","No Kids","deg","full-time",35000,"Editor",2,0,"Small City","Single",2,0,3,1,2,1,1,2,2,5,3,1,4,3,2,1,2,5,2,2,2,2,2,1,3,5,1,2,3,2,3,1,4,3,4,3,3,5,4,2,3,3,3,5,3,3,1,"yes","yes",1.6,2.5,2.8,3,0.92,"Very High"
"Canada",25,"Female","No Kids","ltuni","student",10000,"Clutter clearer,  video editor, caterer",1,0,"Large-City","Single",2,0,2,1,1,1,1,1,1,5,1,2,3,2,4,3,4,2,2,2,2,1,3,2,4,2,3,4,3,2,3,1,5,4,2,4,5,4,3,2,3,3,4,3,4,4,4,"yes","no",1.2,2.3,3.1,3.8,0.92,"Very High"
"Canada",32.5,"Female","No Kids","deg","full-time",45000,"Business Owner",2,0,"Medium-Sized","Married",2,0,3,3,2,2,2,2,5,5,5,5,5,5,5,3,5,5,5,5,5,4,5,3,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,"yes","no",2.4,4.6,4.7,3.8,0.92,"Very High"
"Canada",25,"Male","No Kids","deg","full-time",45000,NA,1,0,"Small Town","Single",2,0,4,4,4,3,3,1,1,4,3,4,1,3,4,3,2,4,4,2,2,2,4,2,2,4,3,2,4,4,4,2,2,4,1,3,3,3,4,4,4,3,1,2,1,2,2,"yes","yes",3.6,2.7,3.1,1.6,0.92,"Very High"
"Canada",28,"Female","No Kids","ma","full-time",35000,"Biologist",0,2,"Rural/Country","Married",2,0,3,3,4,3,3,1,2,2,3,3,4,3,4,3,4,2,3,5,3,4,4,4,3,4,5,3,3,4,4,4,5,3,1,4,4,5,2,4,4,4,4,4,4,4,5,"yes","no",3.2,3.1,3.7,4.2,0.92,"Very High"
"Canada",16.5,"Male","No Kids","lthigh","part-time",10000,"Sales Rep",0,3,"Large-City","",2,0,5,5,3,4,4,3,3,4,5,4,5,4,5,4,5,3,3,3,3,5,4,2,3,3,2,3,5,3,5,4,2,5,3,5,5,3,4,4,5,5,1,1,1,1,2,"yes","yes",4.2,3.9,3.8,1.2,0.92,"Very High"
"Canada",25,"Male","Yes Kids","dip","full-time",150000,"pro poker player /   website owner",3,0,"Medium-Sized","Married",2,1,4,5,3,3,3,1,4,5,5,5,4,5,5,5,5,4,5,3,4,5,5,2,2,5,4,5,5,4,5,2,5,5,1,4,4,4,4,5,5,5,4,3,3,4,2,"yes","yes",3.6,4.3,4,3.2,0.92,"Very High"
"Canada",55,"Male","Yes Kids","phd","full-time",250000,"VP Scientific Affairs / pharmaceutical c",3,4,"Large-City","Married",2,2,3,2,2,1,2,1,2,1,3,2,2,1,5,1,3,1,3,1,4,2,2,2,2,5,1,3,3,2,2,2,2,2,2,3,2,2,2,3,1,1,4,4,4,5,5,"no","no",2,2.1,2.2,4.4,0.92,"Very High"
"Canada",22,"Male","No Kids","ltuni","student",NA,NA,0,0,"Medium-Sized","Married",2,0,3,4,4,4,3,2,3,5,5,4,4,4,5,3,4,4,4,3,2,4,4,2,3,5,3,4,5,4,5,4,4,4,3,4,5,4,4,5,5,5,4,4,4,4,2,"yes","yes",3.6,3.7,4.1,3.6,0.92,"Very High"
"Canada",28,"Female","No Kids","deg","full-time",45000,"Research Scientist",3,6,"Large-City","Single",2,0,1,1,1,1,1,2,2,1,3,2,4,3,3,1,4,2,2,2,4,1,5,1,1,5,4,3,2,3,5,1,3,5,1,3,4,5,3,2,4,2,2,5,4,4,5,"yes","yes",1,2.4,3.1,4,0.92,"Very High"
"Canada",28,"Female","No Kids","deg","full-time",25000,"Administrator",4,0,"Large-City","Married",2,0,3,4,3,5,5,2,2,5,5,5,5,3,3,4,5,1,3,2,2,4,5,2,2,5,5,2,5,3,5,3,3,5,1,3,3,4,3,5,5,4,3,4,3,4,3,"yes","no",4,3.4,3.6,3.4,0.92,"Very High"
"Canada",45,"Female","Yes Kids","deg","full-time",87500,"",5,0,"Large Town","Married",2,1,4,4,3,3,3,5,3,5,5,5,5,3,5,3,5,2,2,2,4,5,5,3,4,5,3,3,5,3,5,3,5,4,5,4,4,5,5,5,5,4,3,3,3,2,2,"yes","yes",3.4,3.9,4.2,2.6,0.92,"Very High"
"Canada",55,"Male","Yes Kids","phd","full-time",87500,"",9,0,"Large-City","Married",NA,1,4,4,4,4,4,3,2,5,5,5,5,5,3,5,5,5,5,5,2,5,5,3,4,3,4,2,5,4,5,2,3,5,5,4,5,5,4,5,5,4,2,2,2,4,2,"yes","yes",4,4.3,4.1,2.4,0.92,"Very High"
"Canada",45,"Female","No Kids","deg","part-time",25000,"",7,8,"Village","Single",2,0,4,4,4,3,3,4,1,2,3,2,4,3,3,1,3,4,2,4,2,4,3,2,3,4,2,3,3,2,4,2,3,4,4,3,3,4,4,4,3,4,1,2,1,1,2,"yes","no",3.6,2.8,3.2,1.4,0.92,"Very High"
"Canada",24,"Female","No Kids","deg","student",10000,"",0,0,"Village","Single",2,0,4,3,5,2,2,1,5,5,5,4,4,5,5,5,5,1,5,5,5,2,4,1,3,5,4,1,2,2,4,4,1,5,1,1,5,1,1,4,2,5,3,4,4,4,4,"yes","yes",3.2,4.1,2.8,3.8,0.92,"Very High"
"Canada",55,"Female","No Kids","grade","unemployed",10000,"",NA,0,"Village","Single",2,0,5,4,5,4,4,1,2,5,3,5,5,5,5,4,5,4,2,3,2,5,5,4,4,1,1,2,5,4,5,4,4,5,1,2,5,4,4,5,5,5,1,1,1,1,1,"yes","yes",4.4,3.7,3.8,1,0.92,"Very High"
"Canada",28,"Female","No Kids","deg","part-time",25000,"",0,6,"Village","Single",2,0,4,4,4,4,4,2,2,3,3,5,5,3,5,4,4,1,1,1,2,4,5,1,1,5,4,2,5,4,5,3,5,5,2,1,5,4,2,5,3,3,4,5,4,5,4,"yes","yes",4,3,3.5,4.4,0.92,"Very High"
"Canada",32.5,"Male","Yes Kids","deg","full-time",67500,"",4,0,"Small Town","Married",2,1,4,3,5,5,5,1,1,4,4,4,3,4,4,2,4,4,3,2,4,4,4,2,4,4,2,4,4,4,4,3,3,4,1,3,4,4,4,3,4,4,2,3,2,3,2,"yes","yes",4.4,3.2,3.5,2.4,0.92,"Very High"
"Canada",55,"Female","No Kids","ma","unemployed",15000,"",0,0,"Medium-Sized","Married",2,0,5,5,3,4,4,1,4,5,4,4,4,5,5,2,4,3,4,2,4,4,5,3,2,4,4,3,4,3,4,4,5,5,1,2,5,5,4,5,5,4,1,2,1,2,2,"yes","yes",4.2,3.7,3.8,1.6,0.92,"Very High"
"Canada",37.5,"Female","Yes Kids","ltuni","full-time",55000,"",3,6,"Large Town","Married",NA,1,5,4,4,4,4,1,1,1,3,4,4,4,4,3,4,3,3,4,3,4,4,4,3,3,5,3,4,3,4,4,3,4,1,4,4,4,3,4,5,3,5,5,4,5,3,"yes","no",4.2,3.1,3.6,4.4,0.92,"Very High"
"Canada",37.5,"Female","Yes Kids","ma","full-time",150000,"",2,0,"Village","Married",2,1,4,5,4,3,3,2,2,3,3,2,3,2,4,2,3,1,2,4,3,3,4,3,4,1,3,3,3,4,5,4,4,5,3,3,4,5,4,3,3,3,4,4,4,4,4,"no","no",3.8,2.6,3.5,4,0.92,"Very High"
"Canada",28,"Female","No Kids","phd","full-time",45000,"",0,0,"Village","Married",2,0,4,4,5,3,3,1,1,3,2,4,2,2,3,2,3,1,1,2,2,2,3,1,3,2,3,2,3,5,5,2,4,4,1,2,4,3,2,4,4,4,3,3,3,3,1,"yes","no",3.8,2.1,3,2.6,0.92,"Very High"
"Canada",28,"Female","No Kids","deg","full-time",45000,NA,2,2,"Large-City","Single",2,0,4,4,2,3,2,2,2,2,3,2,3,2,4,2,3,3,3,4,3,4,4,2,1,3,5,2,3,4,4,2,4,4,2,2,4,3,3,5,4,4,3,3,2,3,1,"yes","no",3,2.8,3.2,2.4,0.92,"Very High"
"Canada",32.5,"Female","No Kids","ma","unemployed",NA,NA,0,0,"Large-City","Single",2,0,3,3,5,2,2,3,2,5,3,2,3,4,4,1,2,4,2,5,2,4,4,1,4,5,5,2,5,5,5,2,4,5,5,5,4,2,4,4,4,5,3,5,4,4,3,"yes","yes",3,3.1,4,3.8,0.92,"Very High"
"Canada",55,"Male","Yes Kids","deg","full-time",55000," innkeeper",17,0,"Rural/Country","Separated",NA,1,4,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,4,3,3,4,3,3,3,4,3,4,3,3,3,3,3,"yes","yes",3.2,2.6,3,3,0.92,"Very High"
"Canada",45,"Female","No Kids","ma","part-time",35000,NA,2,0,"Large-City","Single",2,0,3,3,3,2,2,1,1,4,3,2,1,1,4,1,3,1,1,1,1,2,3,1,1,1,1,2,3,3,3,1,1,2,1,3,3,2,1,3,2,2,1,3,3,3,2,"yes","no",2.6,1.8,2,2.4,0.92,"Very High"
"Canada",24,"Female","No Kids","deg","unemployed",25000,NA,0,0,"Large-City","Single",2,0,5,5,4,5,5,3,3,3,4,5,5,5,4,3,4,2,4,2,4,5,5,3,3,2,5,3,5,3,5,3,4,3,3,4,4,5,5,4,5,4,2,3,2,2,2,"yes","yes",4.8,3.7,3.9,2.2,0.92,"Very High"
"Canada",55,"Male","Yes Kids","deg","full-time",150000,"Deputy Chieif Information Officer",1,10,"Large-City","Married",NA,1,2,2,3,1,1,1,1,1,2,3,2,1,2,2,1,4,1,2,1,3,3,1,2,3,1,2,3,2,3,1,4,3,2,2,3,5,2,4,3,3,4,4,4,4,3,"no","no",1.8,1.8,2.6,3.8,0.92,"Very High"
"Canada",22,"Male","No Kids","high","part-time",15000,"Driver",0,3,"Medium-Sized","",2,0,3,3,4,3,2,4,2,5,3,4,2,4,3,2,5,2,3,3,2,4,5,1,2,4,1,2,4,3,4,2,2,3,4,5,4,4,4,4,4,4,2,1,3,2,2,"yes","yes",3,3.2,3.3,2,0.92,"Very High"
"Canada",32.5,"Male","No Kids","ltuni","full-time",87500,"Director Operations",3,6,"Large-City","Single",2,0,3,4,3,4,4,1,1,3,1,4,5,4,4,4,4,3,1,4,2,2,5,3,4,5,4,1,3,4,5,3,3,4,1,3,4,4,4,4,5,4,3,3,3,2,2,"yes","yes",3.6,2.9,3.6,2.6,0.92,"Very High"
"Canada",25,"Female","No Kids","ma","student",15000,NA,0,6,"Large-City","Single",2,0,4,2,2,2,2,1,2,2,4,2,2,5,4,3,4,1,3,2,2,3,4,2,2,5,4,3,2,3,4,2,4,5,1,2,5,4,3,3,5,4,4,4,4,4,4,"yes","yes",2.4,2.7,3.4,4,0.92,"Very High"
"Canada",28,"Female","No Kids","ltuni","student",10000,NA,17,0,"Large-City","Single",2,0,2,4,4,2,2,2,3,2,4,4,4,5,4,5,5,3,4,3,5,3,4,3,2,5,5,2,4,3,4,3,4,4,2,2,4,3,2,4,4,4,4,4,5,5,4,"yes","yes",2.8,3.7,3.4,4.4,0.92,"Very High"
"Canada",45,"Male","No Kids","deg","part-time",25000,NA,14,0,"Large-City","Single",2,0,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,2,2,3,3,2,3,3,2,3,3,2,3,3,4,3,3,2,3,3,3,3,4,3,3,4,"yes","yes",2.8,3.1,2.8,3.4,0.92,"Very High"
"Canada",67.5,"Female","Yes Kids","ltuni","retired",87500,NA,0,0,"Small City","Married",NA,0,3,2,3,3,3,1,1,3,2,2,1,2,4,3,4,5,3,2,1,1,5,1,5,2,1,1,5,4,4,5,5,3,2,4,4,1,1,4,3,3,2,4,2,4,3,"yes","no",2.8,2.3,3.1,3,0.92,"Very High"
"Canada",45,"Female","Yes Kids","dip","part-time",35000,"Nurse",7,0,"Medium-Sized","Married",2,2,3,3,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,3,3,1,1,1,3,1,3,2,3,1,1,3,1,1,1,1,1,1,3,2,1,1,1,1,1,"yes","no",1.8,1.7,1.7,1,0.92,"Very High"
"Canada",32.5,"Male","No Kids","deg","full-time",67500,"Sales Rep",2,6,"Large-City","Divorced",2,0,5,5,5,5,5,3,4,2,5,5,3,3,5,5,5,4,5,3,5,5,5,5,5,5,5,1,5,5,1,5,5,5,3,5,5,5,5,5,5,3,2,4,1,1,1,"yes","yes",5,4.1,4.4,1.8,0.92,"Very High"
"Canada",55,"Female","Yes Kids","ltuni","part-time",10000,"Fitness Instructor",23,0,"Rural/Country","Married",NA,0,3,3,2,1,1,1,1,2,3,3,1,3,4,1,2,4,2,2,1,1,3,1,2,2,1,1,3,2,3,1,1,3,1,1,3,4,2,3,2,2,3,3,4,4,3,"yes","no",2,2.1,2,3.4,0.92,"Very High"
"Canada",20,"Male","No Kids","high","student",10000,"Residence Don",1,0,"Large-City","Single",2,0,5,2,4,5,5,2,4,3,5,5,5,5,2,4,5,5,5,5,4,3,5,4,1,4,4,3,5,4,5,5,2,5,2,3,4,3,4,5,5,4,5,5,5,5,4,"yes","yes",4.2,4.1,3.8,4.8,0.92,"Very High"
"Canada",55,"Male","Yes Kids","deg","full-time",87500,"engineer",2,4,"Large-City","Married",NA,1,4,3,2,2,2,2,2,4,3,2,4,4,3,2,2,2,3,4,2,3,2,1,2,2,1,1,2,2,2,2,2,3,4,2,3,4,4,2,3,2,4,4,4,4,4,"yes","yes",2.6,2.8,2.3,4,0.92,"Very High"
"Canada",19,"Male","No Kids","ltuni","student",10000,NA,0,0,"Large-City","Single",2,0,1,1,1,1,1,2,4,5,4,2,1,3,4,3,4,2,5,3,1,1,2,1,3,4,1,1,2,2,4,2,4,5,2,4,5,1,1,3,1,5,2,4,2,2,2,"yes","yes",1,2.9,2.6,2.4,0.92,"Very High"
"Canada",19,"Male","No Kids","lthigh","student",10000,NA,0,7,"Medium-Sized","Single",2,0,5,5,4,4,5,3,1,4,2,5,1,3,5,5,5,1,3,3,3,5,2,3,3,4,3,3,5,4,5,3,3,5,3,3,5,4,4,5,5,5,1,1,1,1,1,"yes","yes",4.6,3.3,3.8,1,0.92,"Very High"
"Canada",21,"Male","No Kids","ltuni","student",25000,"Software Developer",0,3,"Large-City","Single",2,0,4,4,4,4,5,1,1,3,3,2,2,2,3,3,4,3,2,2,2,2,2,2,2,5,3,1,4,4,5,2,2,3,1,3,4,4,4,3,3,4,4,4,4,3,4,"yes","no",4.2,2.3,3,3.8,0.92,"Very High"
"Canada",25,"Female","No Kids","ma","unemployed",10000,"Unemployed",0,0,"Large-City","Married",2,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,5,2,1,1,1,1,1,1,1,1,2,1,1,1,5,2,1,1,1,1,1,2,2,2,1,1,4,3,3,3,4,"no","no",1,1.5,1.4,3.4,0.92,"Very High"
"Canada",28,"Male","Yes Kids","deg","full-time",67500,NA,1,0,"Large-City","Married",NA,0,4,4,1,3,3,2,2,5,5,2,5,4,5,3,5,4,4,5,2,4,4,1,3,5,5,3,4,3,4,5,5,4,5,4,4,5,5,3,3,4,2,2,2,2,2,"yes","yes",3,3.8,4,2,0.92,"Very High"
"Canada",19,"Female","No Kids","high","full-time",15000,"Country Style Employee",0,8,"Small Town","Single",2,0,5,5,5,3,3,2,2,5,2,3,4,5,3,2,3,4,4,4,2,4,4,4,3,3,4,5,5,5,5,5,3,4,4,3,5,5,5,4,4,4,3,4,1,1,1,"yes","yes",4.2,3.3,4.2,2,0.92,"Very High"
"Canada",45,"Female","Yes Kids","ltuni","full-time",150000,"Systems Analyst",14,0,"Medium-Sized","Married",NA,0,2,2,2,1,1,4,5,5,4,3,1,3,3,2,3,3,4,1,4,3,3,1,1,3,4,3,3,2,4,2,4,3,4,2,3,2,3,4,3,4,3,3,4,4,4,"yes","yes",1.6,3.2,2.9,3.6,0.92,"Very High"
"Canada",45,"Female","Yes Kids","deg","part-time",10000,"Facilitator",10,0,"Medium-Sized","Married",2,1,4,5,4,3,4,1,2,1,5,4,3,5,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,5,3,3,4,4,1,4,3,4,3,5,5,3,3,3,3,3,3,"yes","yes",4,3.5,3.5,3,0.92,"Very High"
"Canada",37.5,"Male","No Kids","ltuni","full-time",67500,"Business Owner",7,1,"Large-City","Married",2,0,4,4,3,3,3,1,1,3,1,2,3,1,2,1,2,4,1,3,1,3,4,2,2,3,3,3,4,3,4,1,1,4,3,3,3,3,2,3,3,3,3,3,3,2,2,"yes","no",3.4,1.9,2.8,2.6,0.92,"Very High"
"Canada",37.5,"Male","No Kids","phd","full-time",87500,"college professor",2,6,"Large-City","Separated",2,0,4,3,3,4,4,5,5,4,2,5,4,4,5,5,5,2,2,4,2,4,5,3,4,4,4,4,4,3,5,3,4,5,2,4,4,5,4,5,5,4,1,1,2,1,2,"yes","no",3.6,3.9,4,1.4,0.92,"Very High"
"Canada",23,"Female","No Kids","deg","full-time",25000,NA,0,3,"Large-City","Single",2,0,4,4,4,3,3,1,1,3,1,2,1,1,1,2,3,1,1,4,1,3,3,1,1,2,3,2,3,4,4,1,2,3,2,2,3,4,3,3,2,3,4,5,5,5,5,"yes","no",3.6,1.7,2.5,4.8,0.92,"Very High"
"Canada",21,"Female","No Kids","ltuni","student",15000,"Research Assistant",0,3,"Large Town","Single",2,0,5,5,3,5,3,1,3,5,4,4,4,5,5,4,4,5,3,5,5,5,5,3,5,5,5,1,5,3,5,5,5,5,1,1,4,5,5,5,5,5,2,4,3,2,2,"yes","yes",4.2,4.1,4.2,2.6,0.92,"Very High"
"Canada",20,"Male","No Kids","deg","part-time",15000," Military",4,0,"Large-City","Single",2,0,4,3,4,2,2,1,3,4,4,3,1,5,4,4,4,3,4,3,4,2,4,1,3,4,3,4,3,3,4,4,2,4,1,3,4,3,2,5,3,5,2,3,2,2,4,"yes","yes",3,3.3,3.2,2.6,0.92,"Very High"
"Canada",23,"Male","No Kids","deg","full-time",45000,"policy analyst",1,0,"Medium-Sized","Single",2,0,2,3,2,1,1,2,4,4,4,1,2,5,4,3,4,3,5,3,4,4,4,2,4,4,2,4,4,3,5,3,5,2,3,4,4,5,4,4,4,4,4,4,4,4,2,"yes","yes",1.8,3.5,3.7,3.6,0.92,"Very High"
"Canada",45,"Female","No Kids","high","full-time",45000,NA,2,5,"Large-City","Married",2,0,3,4,3,3,3,1,2,3,5,3,4,3,5,3,5,3,4,4,3,3,4,1,3,5,3,3,3,3,4,3,2,4,3,2,4,3,2,4,3,2,2,3,3,3,2,"yes","no",3.2,3.4,3,2.6,0.92,"Very High"
"Canada",28,"Female","No Kids","ma","full-time",45000,"Financial Advisor",1,0,"Large-City","Married",2,0,2,3,3,3,3,2,3,3,3,2,4,2,4,1,3,3,2,3,3,4,3,2,3,3,3,2,3,2,3,4,4,2,2,4,4,4,4,4,4,5,3,4,3,4,4,"yes","no",2.8,2.8,3.2,3.6,0.92,"Very High"
"Canada",22,"Male","No Kids","deg","student",10000,NA,0,0,"Medium-Sized","Single",2,0,3,3,3,2,3,1,3,5,4,4,1,4,5,3,4,5,3,4,4,2,4,2,3,3,3,2,3,3,4,4,4,2,3,3,5,4,3,4,2,4,2,3,2,2,3,"yes","yes",2.8,3.5,3.2,2.4,0.92,"Very High"
